name,num_years,year,industry,sector,country,headquarters_state,headquarters_city,market_value_mil,market_value_currency,revenue_mil,revenue_currency,profit_mil,profit_currency,asset_mil,asset_currency,employees,employees_metric
"Micron Technology, Inc.",17,2013,Semiconductors and Other Electronic Components,,USA,ID,,1019.23,USD,82.34,USD,-1032.0,USD,143.28,USD,,employees
"Micron Technology, Inc.",17,2012,Semiconductors and Other Electronic Components,,USA,ID,Boise,,USD,8788.0,USD,,USD,,USD,,employees
Microsoft,10,2023,Computer Software,Technology,USA,WA,Redmond,2146049.0,USD,198270.0,USD,72738.0,USD,364840.0,USD,221000.0,employees
Microsoft,10,2022,Computer Software,Technology,USA,WA,Redmond,2311359.0,USD,168088.0,USD,61271.0,USD,333779.0,USD,181000.0,employees
Microsoft,10,2021,Computer Software,Technology,USA,WA,Redmond,1778228.0,USD,143015.0,USD,44281.0,USD,301311.0,USD,163000.0,employees
Microsoft Corporation,18,2013,Computer Software,,USA,WA,,239602.5,USD,73723.0,USD,16978.0,USD,121271.0,USD,,employees
Microsoft Corporation,18,2012,Computer Software,,USA,WA,Redmond,,USD,69943.0,USD,,USD,,USD,,employees
Microsoft Corporation,18,2011,Computer Software,,USA,WA,Redmond,,USD,62484.0,USD,,USD,,USD,,employees
Mohawk Industries,9,2023,"Home Equipment, Furnishings",Household Products,USA,GA,Calhoun,6368.0,USD,11737.0,USD,25.0,USD,14120.0,USD,40900.0,employees
Mohawk Industries,9,2022,"Home Equipment, Furnishings",Household Products,USA,GA,Calhoun,8082.0,USD,11201.0,USD,1033.0,USD,14225.0,USD,43000.0,employees
Mohawk Industries,9,2021,"Home Equipment, Furnishings",Household Products,USA,GA,Calhoun,13505.0,USD,9552.0,USD,516.0,USD,14328.0,USD,42000.0,employees
"Mohawk Industries, Inc.",15,2014,zMiscellaneous,,USA,GA,,9886.0,USD,7349.0,USD,349.0,USD,8494.0,USD,,employees
"Mohawk Industries, Inc.",15,2013,zMiscellaneous,,USA,GA,,784.22,USD,57.88,USD,250.3,USD,630.37,USD,,employees
"Mohawk Industries, Inc.",15,2012,zMiscellaneous,,USA,GA,Calhoun,,USD,5642.3,USD,,USD,,USD,,employees
Monsanto Company,16,2014,Chemicals,,USA,MO,,59715.0,USD,14861.0,USD,2482.0,USD,20664.0,USD,,employees
Monsanto Company,16,2013,Chemicals,,USA,MO,,565.98,USD,135.04,USD,2045.0,USD,202.24,USD,,employees
Monsanto Company,16,2012,Chemicals,,USA,MO,St. Louis,,USD,11822.0,USD,,USD,,USD,,employees
Morgan Stanley,21,2023,Commercial Banks,Financials,USA,NY,New York,147674.0,USD,65936.0,USD,11029.0,USD,1180231.0,USD,82427.0,employees
Morgan Stanley,21,2022,Commercial Banks,Financials,USA,NY,New York,155686.0,USD,61121.0,USD,15034.0,USD,1188140.0,USD,74814.0,employees
Morgan Stanley,21,2021,Commercial Banks,Financials,USA,NY,New York,146162.0,USD,52047.0,USD,10996.0,USD,1115862.0,USD,68097.0,employees
